,Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-19,"2,760",60,47.81%,13.47%,13.47%,13.47%,10.77%,11.78%,11.45%,11.11%,9.43%,7.41%,8.08%,37.04%,8.75%,9.09%,6.73%,7.74%,7.74%,6.40%,6.40%,8.42%,6.40%,5.05%,25.25%,22.90%,19.53%,17.51%,18.86%,16.84%,13.80%,120,8,60.00%,20.00%,10.00%,10.00%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,30.00%,30.00%,30.00%,10.00%,10.00%,10.00%
15-May-19,"2,839",119,46.29%,11.51%,12.53%,9.46%,9.46%,8.44%,8.95%,8.95%,6.39%,7.67%,6.91%,30.43%,5.88%,5.88%,6.39%,5.37%,5.12%,4.60%,4.09%,6.39%,4.35%,4.60%,24.81%,21.48%,20.20%,18.16%,17.14%,14.58%,10.74%,118,19,66.67%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,55.56%,22.22%,22.22%,22.22%,22.22%,22.22%,11.11%,22.22%,22.22%,22.22%,22.22%,33.33%,33.33%,22.22%,11.11%,11.11%,22.22%,11.11%
16-May-19,"2,728",136,45.36%,13.91%,15.56%,13.91%,12.58%,9.27%,8.94%,9.93%,11.26%,9.27%,9.60%,32.78%,8.61%,8.61%,7.28%,6.62%,7.95%,6.29%,5.96%,6.62%,7.28%,5.30%,30.13%,29.47%,22.85%,21.85%,18.21%,16.56%,14.57%,125,5,45.45%,9.09%,9.09%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,9.09%,0.00%,27.27%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,18.18%,18.18%,18.18%,27.27%,27.27%,9.09%,9.09%,0.00%,9.09%
17-May-19,"2,661",103,51.43%,12.86%,12.50%,11.79%,10.71%,7.14%,10.00%,8.57%,11.07%,8.57%,8.57%,35.00%,9.29%,7.86%,6.79%,7.86%,7.86%,6.43%,7.50%,5.71%,3.57%,4.29%,28.57%,26.07%,21.07%,20.00%,17.50%,17.14%,15.36%,113,20,30.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,0.00%,0.00%,0.00%
18-May-19,"2,677",94,47.80%,10.08%,7.75%,8.53%,8.53%,7.24%,5.68%,7.24%,4.65%,4.13%,3.88%,32.56%,6.20%,5.43%,5.43%,4.65%,4.13%,5.17%,4.65%,3.36%,4.13%,3.10%,26.87%,22.74%,17.05%,16.80%,14.21%,12.92%,13.95%,113,0,33.33%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,11.11%,11.11%,11.11%,22.22%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,22.22%,33.33%,22.22%,22.22%,22.22%,22.22%,22.22%
19-May-19,"2,904",143,52.10%,13.79%,12.85%,13.79%,13.08%,11.45%,12.62%,10.28%,9.81%,9.11%,9.58%,35.98%,10.75%,9.58%,8.64%,8.88%,7.94%,7.48%,7.48%,6.54%,6.78%,7.24%,28.50%,25.70%,21.96%,21.26%,18.69%,16.82%,15.89%,112,1,30.00%,10.00%,10.00%,20.00%,10.00%,20.00%,10.00%,20.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%
20-May-19,"2,806",130,44.81%,10.71%,8.44%,7.79%,7.47%,8.77%,7.79%,7.79%,7.14%,6.49%,5.52%,29.87%,5.84%,6.49%,4.87%,6.17%,4.87%,4.22%,4.87%,3.25%,2.92%,2.27%,26.30%,21.43%,17.21%,17.53%,13.31%,14.29%,10.71%,111,7,40.00%,10.00%,10.00%,10.00%,10.00%,20.00%,10.00%,20.00%,10.00%,10.00%,10.00%,20.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,0.00%,10.00%,10.00%,20.00%,20.00%,20.00%,0.00%,10.00%,10.00%
21-May-19,"2,727",97,47.48%,14.47%,11.01%,11.95%,10.38%,11.32%,8.18%,9.75%,9.43%,9.12%,8.18%,33.65%,7.86%,7.86%,7.86%,6.29%,5.97%,6.92%,5.97%,5.97%,6.92%,5.03%,25.47%,23.27%,19.50%,19.50%,16.98%,16.67%,16.67%,93,0,12.50%,0.00%,12.50%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,12.50%,25.00%,0.00%,12.50%,12.50%,12.50%
22-May-19,"2,662",127,46.54%,11.95%,10.38%,12.89%,11.32%,9.12%,10.06%,8.81%,9.75%,8.49%,9.12%,33.02%,7.86%,7.55%,6.92%,7.55%,6.29%,6.29%,6.92%,5.66%,5.03%,5.66%,23.90%,24.84%,22.33%,18.55%,16.35%,15.72%,12.89%,102,5,66.67%,16.67%,16.67%,16.67%,33.33%,16.67%,16.67%,16.67%,16.67%,16.67%,0.00%,16.67%,16.67%,16.67%,16.67%,0.00%,16.67%,16.67%,0.00%,16.67%,0.00%,0.00%,16.67%,16.67%,33.33%,16.67%,33.33%,16.67%,16.67%
23-May-19,"2,677",134,50.00%,9.03%,9.68%,7.74%,5.48%,6.13%,7.10%,5.16%,4.84%,5.81%,5.81%,32.26%,2.90%,4.19%,3.87%,4.19%,3.87%,4.52%,4.52%,2.90%,4.19%,2.90%,23.23%,20.97%,17.42%,13.87%,14.19%,9.68%,11.29%,102,0,50.00%,12.50%,12.50%,25.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,12.50%,25.00%,25.00%,12.50%,12.50%,12.50%
24-May-19,"2,593",89,43.51%,11.04%,10.39%,9.09%,9.74%,7.14%,8.44%,7.47%,6.17%,6.82%,6.82%,29.87%,5.19%,4.22%,4.22%,3.25%,3.90%,3.90%,2.92%,3.57%,3.25%,2.60%,25.32%,19.81%,17.21%,15.58%,13.64%,11.69%,11.69%,106,13,30.77%,7.69%,7.69%,7.69%,7.69%,7.69%,0.00%,7.69%,7.69%,0.00%,0.00%,38.46%,0.00%,0.00%,7.69%,0.00%,0.00%,0.00%,7.69%,7.69%,7.69%,0.00%,30.77%,23.08%,7.69%,7.69%,23.08%,7.69%,15.38%
25-May-19,"2,483",135,42.96%,11.55%,10.47%,11.19%,10.47%,8.30%,7.94%,9.03%,9.03%,8.30%,7.22%,32.85%,6.14%,7.22%,6.14%,6.50%,5.78%,6.14%,5.05%,5.42%,3.97%,4.33%,26.71%,21.66%,20.22%,18.05%,16.61%,15.88%,10.47%,107,1,77.78%,22.22%,22.22%,33.33%,22.22%,22.22%,0.00%,22.22%,11.11%,33.33%,22.22%,66.67%,11.11%,22.22%,11.11%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,11.11%,44.44%,44.44%,44.44%,55.56%,33.33%,22.22%,33.33%
26-May-19,"2,644",97,45.15%,14.96%,13.02%,11.08%,11.91%,11.91%,11.08%,9.42%,10.80%,9.42%,9.42%,31.86%,7.48%,8.86%,7.20%,8.31%,7.20%,5.82%,5.26%,6.09%,5.26%,6.09%,24.93%,22.99%,19.39%,17.17%,15.24%,15.79%,13.85%,127,3,40.00%,13.33%,20.00%,6.67%,13.33%,20.00%,20.00%,13.33%,0.00%,13.33%,0.00%,33.33%,6.67%,13.33%,13.33%,6.67%,6.67%,20.00%,6.67%,6.67%,13.33%,13.33%,33.33%,26.67%,33.33%,33.33%,20.00%,33.33%,20.00%
27-May-19,"2,687",168,49.33%,8.89%,10.24%,7.28%,9.70%,9.43%,7.82%,7.82%,7.01%,6.74%,6.47%,32.35%,5.39%,5.93%,5.93%,4.58%,4.04%,5.39%,4.85%,6.47%,4.04%,3.23%,24.80%,19.14%,13.75%,16.17%,16.17%,14.82%,12.13%,114,8,33.33%,0.00%,0.00%,0.00%,0.00%,8.33%,8.33%,0.00%,0.00%,16.67%,8.33%,33.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,0.00%,0.00%,0.00%,0.00%,16.67%,25.00%,25.00%,8.33%,0.00%,16.67%,0.00%
28-May-19,"2,699",96,45.35%,9.86%,9.01%,7.89%,10.42%,8.17%,8.17%,6.76%,7.89%,7.32%,5.63%,30.70%,5.63%,6.48%,4.79%,5.92%,5.07%,7.04%,6.20%,5.92%,4.79%,3.38%,22.82%,18.59%,19.15%,16.90%,16.34%,13.24%,10.14%,118,8,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,11.11%,11.11%,0.00%,11.11%,0.00%,0.00%
29-May-19,"2,579",95,47.14%,12.00%,10.29%,11.14%,10.00%,9.71%,8.29%,6.86%,7.71%,6.57%,6.57%,28.29%,5.71%,6.00%,4.86%,5.14%,4.57%,3.43%,4.00%,3.71%,3.71%,3.71%,22.57%,20.29%,17.71%,17.71%,12.57%,16.57%,14.00%,115,23,60.00%,26.67%,13.33%,13.33%,0.00%,6.67%,6.67%,6.67%,13.33%,13.33%,6.67%,46.67%,6.67%,6.67%,6.67%,0.00%,0.00%,0.00%,13.33%,6.67%,6.67%,0.00%,33.33%,33.33%,20.00%,33.33%,26.67%,33.33%,13.33%
30-May-19,"2,593",164,47.15%,10.13%,9.49%,8.54%,6.65%,8.54%,6.96%,8.23%,5.06%,5.70%,6.96%,28.48%,6.01%,6.65%,5.06%,3.48%,4.43%,5.38%,3.16%,2.85%,3.80%,4.43%,26.27%,22.47%,19.94%,16.46%,12.97%,11.39%,10.44%,106,10,80.00%,20.00%,40.00%,40.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,60.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,40.00%,40.00%,40.00%,40.00%,40.00%,20.00%,20.00%
31-May-19,"2,433",101,40.29%,10.79%,10.79%,9.71%,10.07%,7.91%,7.91%,8.27%,6.83%,6.83%,5.76%,29.86%,6.83%,6.83%,5.40%,6.83%,5.76%,4.68%,6.47%,5.40%,5.40%,3.60%,22.30%,18.71%,15.47%,15.83%,13.31%,11.15%,9.35%,109,3,45.45%,9.09%,18.18%,9.09%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,27.27%,9.09%,9.09%,9.09%,9.09%,0.00%,9.09%,0.00%,0.00%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,9.09%,18.18%
01-Jun-19,"2,319",124,48.42%,11.23%,12.28%,11.23%,11.93%,9.82%,9.47%,7.72%,8.77%,7.72%,5.61%,31.93%,7.37%,8.77%,7.37%,5.26%,7.02%,6.32%,7.02%,7.37%,7.72%,6.32%,24.56%,20.00%,16.49%,18.25%,14.39%,11.93%,11.93%,112,0,25.00%,8.33%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,0.00%
02-Jun-19,"2,560",83,52.23%,14.84%,10.98%,10.98%,11.87%,12.17%,15.13%,10.39%,10.68%,10.39%,9.79%,37.09%,6.23%,7.12%,7.42%,5.93%,6.53%,5.34%,5.34%,4.45%,5.04%,2.67%,31.16%,27.00%,22.85%,22.26%,18.69%,15.73%,15.73%,116,0,45.45%,9.09%,18.18%,18.18%,18.18%,9.09%,9.09%,9.09%,9.09%,9.09%,9.09%,36.36%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,45.45%,18.18%,18.18%,0.00%,27.27%,27.27%,18.18%
03-Jun-19,"2,443",119,46.01%,10.27%,8.75%,9.89%,6.84%,6.84%,6.84%,6.46%,5.70%,4.94%,4.56%,31.56%,4.18%,4.18%,3.42%,3.42%,2.66%,1.90%,3.04%,3.80%,3.42%,2.66%,27.76%,22.81%,17.49%,16.35%,15.97%,12.17%,9.51%,106,29,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%
04-Jun-19,"2,387",105,49.58%,11.44%,13.56%,10.17%,11.86%,10.59%,9.32%,10.17%,9.75%,10.17%,8.47%,36.44%,10.59%,7.20%,9.32%,9.32%,5.51%,6.36%,5.93%,5.93%,5.93%,5.51%,28.39%,25.00%,24.15%,21.61%,21.61%,19.07%,15.68%,113,0,58.33%,0.00%,0.00%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,16.67%,50.00%,16.67%,16.67%,16.67%,16.67%,16.67%,8.33%,16.67%,16.67%,8.33%,16.67%,33.33%,33.33%,25.00%,33.33%,25.00%,16.67%,16.67%
05-Jun-19,"2,414",123,49.23%,12.38%,10.53%,11.15%,12.38%,8.67%,8.67%,8.05%,7.74%,8.67%,6.50%,30.96%,8.67%,6.19%,7.43%,6.81%,5.57%,5.26%,5.88%,5.57%,4.95%,3.72%,24.77%,23.53%,23.53%,19.50%,18.58%,16.10%,16.41%,112,0,22.22%,16.67%,0.00%,5.56%,5.56%,11.11%,11.11%,5.56%,11.11%,5.56%,5.56%,27.78%,11.11%,11.11%,0.00%,0.00%,0.00%,11.11%,0.00%,5.56%,11.11%,11.11%,11.11%,16.67%,16.67%,22.22%,11.11%,5.56%,16.67%
06-Jun-19,"2,424",122,40.96%,12.63%,9.90%,9.90%,9.56%,7.85%,7.17%,7.51%,5.46%,5.12%,6.83%,25.26%,7.17%,5.46%,5.80%,5.46%,5.12%,5.80%,4.44%,5.12%,3.75%,3.07%,23.55%,20.14%,17.06%,12.97%,13.31%,11.26%,11.26%,109,0,41.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,8.33%,8.33%,8.33%,8.33%,25.00%,8.33%,8.33%,8.33%,0.00%,0.00%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,25.00%,16.67%,25.00%,25.00%,16.67%,25.00%
07-Jun-19,"2,194",115,44.90%,10.20%,8.16%,10.20%,12.24%,8.16%,10.20%,9.52%,7.48%,8.16%,7.48%,27.89%,6.12%,4.76%,4.08%,6.12%,6.12%,7.48%,5.44%,6.12%,5.44%,5.44%,26.53%,21.09%,21.09%,20.41%,16.33%,14.29%,10.88%,102,0,33.33%,0.00%,11.11%,11.11%,11.11%,11.11%,0.00%,11.11%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
08-Jun-19,"2,159",47,48.90%,11.45%,11.45%,10.57%,11.01%,10.57%,7.49%,7.93%,6.61%,7.05%,5.73%,37.89%,7.49%,6.61%,5.73%,6.17%,6.17%,6.61%,5.29%,4.85%,5.73%,5.29%,28.63%,23.35%,21.15%,14.98%,15.42%,14.54%,13.22%,101,14,50.00%,6.25%,6.25%,6.25%,6.25%,12.50%,6.25%,6.25%,12.50%,6.25%,6.25%,31.25%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,6.25%,0.00%,6.25%,31.25%,6.25%,12.50%,6.25%,12.50%,12.50%,12.50%
09-Jun-19,"2,302",104,44.34%,13.15%,11.62%,10.70%,11.93%,9.48%,10.09%,7.34%,7.34%,8.56%,7.65%,31.19%,7.95%,7.95%,7.65%,5.81%,5.81%,5.81%,5.81%,6.12%,4.89%,1.83%,26.61%,23.55%,21.41%,16.51%,15.60%,14.68%,12.23%,104,14,38.46%,7.69%,15.38%,7.69%,23.08%,15.38%,7.69%,7.69%,15.38%,7.69%,0.00%,30.77%,7.69%,15.38%,7.69%,7.69%,7.69%,7.69%,7.69%,7.69%,7.69%,0.00%,15.38%,30.77%,15.38%,7.69%,23.08%,15.38%,7.69%
10-Jun-19,"2,409",142,47.11%,10.40%,10.12%,8.96%,8.38%,6.07%,6.94%,6.65%,4.62%,5.20%,5.20%,32.66%,5.78%,5.20%,4.91%,5.20%,4.91%,3.18%,2.31%,3.76%,4.05%,4.05%,29.77%,19.94%,16.76%,15.32%,13.58%,12.72%,9.83%,119,1,60.00%,20.00%,60.00%,40.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,60.00%,20.00%,20.00%,0.00%,40.00%,40.00%,20.00%,20.00%,20.00%,20.00%,20.00%,40.00%,40.00%,60.00%,40.00%,40.00%,40.00%,40.00%
11-Jun-19,"2,339",80,47.51%,9.63%,8.64%,8.97%,9.63%,6.64%,7.97%,8.64%,8.64%,6.31%,4.98%,33.89%,5.65%,6.31%,5.65%,3.99%,6.31%,2.99%,4.32%,4.32%,2.66%,4.65%,24.25%,17.94%,16.28%,15.61%,12.96%,13.29%,11.30%,114,0,41.67%,8.33%,0.00%,0.00%,8.33%,8.33%,0.00%,0.00%,8.33%,0.00%,8.33%,8.33%,8.33%,8.33%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,8.33%,8.33%,0.00%,0.00%,0.00%,0.00%
12-Jun-19,"2,340",127,47.22%,10.42%,11.46%,10.76%,9.03%,10.07%,8.68%,7.64%,7.29%,8.68%,6.60%,33.68%,7.64%,6.60%,5.56%,4.17%,4.86%,4.86%,4.51%,4.51%,3.82%,3.82%,26.39%,24.31%,20.83%,18.75%,17.01%,14.58%,11.46%,99,0,46.15%,15.38%,7.69%,30.77%,23.08%,0.00%,7.69%,0.00%,0.00%,7.69%,7.69%,23.08%,0.00%,7.69%,7.69%,7.69%,0.00%,15.38%,15.38%,0.00%,0.00%,0.00%,23.08%,30.77%,15.38%,7.69%,15.38%,7.69%,15.38%
13-Jun-19,"2,354",84,43.09%,12.50%,11.51%,10.20%,7.24%,10.53%,8.88%,6.25%,5.92%,5.59%,6.25%,34.21%,4.28%,4.28%,5.92%,4.61%,5.26%,4.93%,5.26%,3.95%,4.61%,2.96%,29.28%,25.99%,22.70%,19.74%,18.42%,14.47%,12.83%,102,3,37.50%,18.75%,18.75%,6.25%,12.50%,6.25%,6.25%,6.25%,12.50%,12.50%,12.50%,37.50%,18.75%,6.25%,6.25%,6.25%,6.25%,6.25%,0.00%,0.00%,0.00%,0.00%,37.50%,37.50%,31.25%,18.75%,12.50%,25.00%,25.00%
14-Jun-19,"2,308",116,45.11%,8.83%,9.46%,10.09%,8.83%,7.89%,8.52%,7.26%,6.31%,5.99%,5.68%,33.44%,4.42%,5.68%,5.68%,4.73%,5.05%,4.10%,3.47%,3.15%,5.36%,3.79%,21.45%,14.83%,16.09%,15.14%,13.88%,12.62%,11.04%,115,2,46.15%,11.54%,11.54%,11.54%,11.54%,11.54%,11.54%,11.54%,7.69%,11.54%,15.38%,30.77%,15.38%,11.54%,11.54%,11.54%,3.85%,7.69%,3.85%,3.85%,7.69%,11.54%,23.08%,23.08%,19.23%,15.38%,11.54%,11.54%,15.38%
15-Jun-19,"2,241",147,45.07%,11.27%,12.68%,11.97%,10.21%,7.39%,8.45%,6.69%,8.45%,11.27%,8.45%,28.87%,6.69%,5.99%,6.69%,5.28%,6.69%,4.93%,4.23%,4.23%,4.23%,5.63%,28.52%,21.48%,18.66%,18.66%,15.14%,15.49%,14.79%,134,0,31.25%,15.63%,9.38%,15.63%,9.38%,15.63%,6.25%,12.50%,9.38%,12.50%,12.50%,18.75%,15.63%,9.38%,9.38%,6.25%,9.38%,6.25%,9.38%,6.25%,6.25%,9.38%,18.75%,21.88%,15.63%,15.63%,12.50%,15.63%,15.63%
16-Jun-19,"2,313",108,45.24%,12.24%,11.22%,10.88%,10.20%,9.52%,8.50%,8.84%,7.14%,6.80%,6.80%,34.69%,5.10%,5.10%,5.44%,5.44%,5.10%,5.44%,6.46%,6.12%,6.12%,2.72%,25.17%,19.05%,20.07%,17.69%,14.97%,13.95%,15.31%,130,1,48.28%,24.14%,6.90%,10.34%,3.45%,10.34%,13.79%,3.45%,17.24%,10.34%,6.90%,31.03%,6.90%,10.34%,6.90%,6.90%,3.45%,6.90%,3.45%,3.45%,3.45%,3.45%,27.59%,27.59%,13.79%,10.34%,13.79%,20.69%,17.24%
17-Jun-19,"2,277",70,43.43%,10.58%,9.85%,10.22%,6.93%,6.20%,6.57%,7.30%,5.11%,5.11%,6.57%,29.93%,4.38%,6.93%,5.84%,3.28%,2.19%,3.28%,2.92%,2.92%,2.55%,0.00%,21.17%,16.06%,16.42%,9.85%,14.23%,12.41%,10.95%,116,1,61.54%,15.38%,15.38%,7.69%,15.38%,7.69%,7.69%,15.38%,7.69%,7.69%,7.69%,38.46%,7.69%,7.69%,15.38%,15.38%,15.38%,15.38%,0.00%,7.69%,0.00%,0.00%,46.15%,30.77%,15.38%,23.08%,15.38%,23.08%,15.38%
18-Jun-19,"2,319",146,45.98%,10.61%,10.29%,10.29%,9.00%,9.97%,9.00%,7.72%,7.72%,6.75%,7.40%,33.12%,5.14%,4.18%,6.43%,5.14%,5.79%,5.47%,7.07%,7.40%,6.75%,5.47%,26.05%,19.94%,18.97%,16.72%,14.15%,11.58%,10.61%,133,1,53.85%,19.23%,23.08%,23.08%,23.08%,19.23%,23.08%,23.08%,15.38%,15.38%,15.38%,34.62%,11.54%,15.38%,11.54%,11.54%,15.38%,15.38%,11.54%,15.38%,3.85%,15.38%,30.77%,34.62%,26.92%,26.92%,26.92%,19.23%,19.23%
19-Jun-19,"2,316",95,48.11%,11.95%,11.01%,12.89%,12.26%,9.43%,11.01%,9.75%,9.12%,8.18%,9.75%,34.91%,9.43%,9.12%,8.49%,7.23%,6.60%,7.55%,6.29%,5.97%,5.03%,3.14%,26.42%,24.53%,25.16%,19.50%,17.30%,13.21%,13.21%,131,7,46.15%,0.00%,23.08%,23.08%,7.69%,15.38%,23.08%,23.08%,23.08%,7.69%,15.38%,30.77%,23.08%,23.08%,15.38%,7.69%,7.69%,15.38%,0.00%,15.38%,7.69%,0.00%,23.08%,0.00%,0.00%,23.08%,30.77%,7.69%,7.69%
20-Jun-19,"2,279",138,46.89%,10.49%,9.84%,8.52%,8.20%,6.56%,7.21%,4.59%,4.59%,4.92%,5.57%,28.52%,4.92%,2.95%,2.30%,2.95%,3.93%,3.61%,2.95%,3.28%,0.98%,0.00%,24.59%,20.98%,17.38%,15.41%,13.77%,11.80%,9.84%,128,7,53.85%,15.38%,7.69%,7.69%,7.69%,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,30.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.38%,15.38%,15.38%,15.38%,15.38%,15.38%,23.08%
21-Jun-19,"2,253",89,41.67%,13.04%,9.06%,9.06%,7.61%,6.88%,7.25%,7.25%,6.16%,6.88%,5.80%,29.35%,5.80%,6.88%,6.16%,4.71%,6.16%,5.07%,5.07%,1.81%,0.00%,0.00%,24.64%,22.46%,18.84%,15.94%,9.78%,11.96%,11.96%,127,3,40.00%,10.00%,20.00%,10.00%,30.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,10.00%,20.00%,0.00%,30.00%,20.00%,40.00%
22-Jun-19,"2,203",107,45.39%,12.18%,12.18%,9.59%,9.96%,7.75%,7.75%,5.90%,5.54%,5.90%,5.17%,34.69%,5.17%,7.75%,5.17%,3.32%,3.69%,3.69%,4.80%,3.69%,4.43%,5.54%,23.62%,19.93%,17.71%,14.02%,15.13%,14.02%,12.18%,122,21,31.25%,0.00%,0.00%,6.25%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,12.50%,6.25%,0.00%,6.25%,12.50%,0.00%
23-Jun-19,"2,258",103,42.47%,13.04%,11.37%,7.36%,8.70%,6.69%,7.36%,7.69%,6.69%,5.69%,5.35%,29.77%,5.69%,6.35%,6.35%,6.02%,5.02%,4.68%,3.68%,4.68%,5.02%,4.35%,26.76%,23.75%,20.40%,14.38%,15.05%,13.38%,13.38%,111,19,33.33%,33.33%,33.33%,11.11%,22.22%,11.11%,11.11%,11.11%,11.11%,22.22%,11.11%,55.56%,11.11%,22.22%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,11.11%,33.33%,22.22%,33.33%,33.33%,33.33%,33.33%,33.33%
24-Jun-19,"2,220",107,49.45%,15.87%,12.92%,13.28%,10.70%,11.07%,8.12%,7.38%,9.59%,7.01%,7.38%,35.06%,7.38%,9.59%,7.75%,8.86%,8.12%,5.54%,7.38%,5.17%,6.27%,3.32%,26.20%,23.25%,18.45%,19.93%,18.82%,16.24%,12.92%,123,5,33.33%,8.33%,16.67%,8.33%,25.00%,16.67%,16.67%,8.33%,16.67%,16.67%,16.67%,33.33%,16.67%,16.67%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,16.67%,8.33%,16.67%,8.33%,8.33%,16.67%,16.67%
25-Jun-19,"2,195",103,47.08%,10.95%,9.12%,8.39%,8.03%,9.49%,8.03%,7.30%,5.11%,6.57%,6.20%,35.04%,5.84%,4.74%,5.47%,5.84%,5.11%,5.11%,4.38%,4.38%,4.74%,4.74%,29.93%,22.63%,23.36%,18.98%,18.25%,13.87%,11.31%,125,11,58.33%,8.33%,16.67%,25.00%,16.67%,8.33%,0.00%,16.67%,16.67%,0.00%,8.33%,41.67%,0.00%,8.33%,8.33%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,25.00%,50.00%,41.67%,25.00%,16.67%,25.00%,33.33%
26-Jun-19,"2,101",64,44.44%,7.73%,10.14%,8.70%,8.70%,7.73%,7.25%,6.76%,5.31%,5.31%,4.35%,31.88%,3.86%,4.83%,4.83%,4.35%,4.83%,4.35%,5.31%,4.83%,3.86%,3.38%,23.19%,22.71%,18.36%,18.84%,12.56%,14.01%,10.14%,119,14,27.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,27.27%,0.00%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.18%,0.00%,9.09%,9.09%,9.09%,9.09%,0.00%
27-Jun-19,"2,052",119,37.79%,11.63%,12.79%,12.21%,12.21%,9.30%,8.14%,10.47%,6.98%,5.81%,6.40%,31.98%,6.98%,4.07%,6.40%,4.07%,4.65%,4.65%,5.81%,4.07%,4.07%,3.49%,18.02%,17.44%,16.86%,17.44%,16.28%,11.63%,10.47%,157,7,1.54%,1.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.54%,0.00%,0.00%,0.00%,1.54%,1.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.54%,0.00%,0.00%,0.00%,0.00%,0.00%
